cid,name,type,notnull,dflt_value,pk
0,Account#,TEXT,1,,1
1,Owner1,TEXT,0,,0
2,Owner2,TEXT,0,,0
3,Owner3,TEXT,0,,0
4,MailingAddress1,TEXT,0,,0
5,MailingAddress2,TEXT,0,,0
6,MailingCity,TEXT,0,,0
7,MailingState,TEXT,0,,0
8,MailingZipCode,TEXT,0,,0
9,MailingCountry,TEXT,0,,0
10,SitusAddress(PropertyAddress),TEXT,0,,0
11,SitusCity,TEXT,0,,0
12,SitusState,TEXT,0,,0
13,SitusZipCode,TEXT,0,,0
14,PropertyUseCode,TEXT,0,,0
15,Neighborhood,TEXT,0,,0
16,Subdivision,TEXT,0,,0
17,TaxingDistrict,TEXT,0,,0
18,Municipality,TEXT,0,,0
19,WaterfrontCode,TEXT,0,,0
20,HomesteadExemption,TEXT,0,,0
21,HomesteadExemptionGrantYear,TEXT,0,,0
22,Zoning,TEXT,0,,0
23,ParcelDesc1,TEXT,0,,0
24,ParcelDesc2,TEXT,0,,0
25,ParcelDesc3,TEXT,0,,0
26,ParcelDesc4,TEXT,0,,0
27,Pool(YESorNO),TEXT,0,,0
28,TotalLivingUnits,TEXT,0,,0
29,LandAreaS.F.,TEXT,0,,0
30,GrossBldgArea,TEXT,0,,0
31,LivingArea,TEXT,0,,0
32,Bedrooms,TEXT,0,,0
33,Baths,TEXT,0,,0
34,HalfBaths,TEXT,0,,0
35,YearBuilt,TEXT,0,,0
36,LastSaleAmount,TEXT,0,,0
37,LastSaleDate,TEXT,0,,0
38,LastSaleQualCode,TEXT,0,,0
39,PriorSaleAmount,TEXT,0,,0
40,PriorSaleDate,TEXT,0,,0
41,PriorSaleQualCode,TEXT,0,,0
42,JustValue,TEXT,0,,0
43,AssessedValue,TEXT,0,,0
44,TaxableValue,TEXT,0,,0
45,LinktoPropertyDetailPage,TEXT,0,,0
46,ValueDataSource,TEXT,0,,0
47,ParcelCharacteristicsData,TEXT,0,,0
48,Status,TEXT,0,,0
49,DownloadDate,TEXT,0,,0
