TimeStamp|LogMsg|initials
2022-07-14|"New FLCong record added."|wmk
2022-07-14|"New FLCong record added."|wmk
2022-07-14|"New FLCong record 4 added."|wmk
2022-07-14|"New FLCong record 4 added."|wmk
DATESTAMP|2022-07-16|wmk
2022-07-16|"DoNotCalls updated."|wmk
"2022-07-16 16:05:35"|"DoNotCalls updated."|wmk
"2022-07-17 08:18:44"|"DoNotCalls updated."|wmk
"2023-04-15 10:10:13"|"DoNotCalls updated."|wmk
"2023-04-15 10:10:14"|"DoNotCalls updated."|wmk
"2023-04-15 10:10:23"|"DoNotCalls updated."|wmk
"2023-04-15 10:11:11"|"DoNotCalls updated."|wmk
"2023-04-15 10:11:25"|"DoNotCalls updated."|wmk
"2023-04-15 10:11:45"|"DoNotCalls updated."|wmk
"2023-04-15 10:13:21"|"DoNotCalls updated."|wmk
"2023-04-15 10:13:33"|"DoNotCalls updated."|wmk
"2023-04-15 10:13:53"|"DoNotCalls updated."|wmk
"2023-04-15 10:14:16"|"DoNotCalls updated."|wmk
"2023-05-29 12:40:47"|"DoNotCalls updated."|wmk
"2023-06-01 20:45:18"|"9999999999  DNC deleted."|wmk
"2023-06-01 20:48:24"|"9999999999  DNC deleted."|wmk
"2023-06-01 20:59:37"|"9999999999  DNC deleted."|wmk
"2023-06-01 21:57:47"|"importing new records from NewDNC.csv."|wmk
"2023-06-01 22:03:32"|"9999999999  DNC deleted."|wmk
"2023-06-08 11:28:57"|"9999999999 Test message.wmk"|wmk
"2023-06-08 11:54:07"|"DelPending records removed. wmk"|wmk
"2023-06-08 18:10:46"|"Admin logged out.wmk"|wmk
"2023-06-08 18:12:25"|"Admin logged out."|wmk
"2023-06-08 18:13:10"|"Admin logged in.wmk"|wmk
"2023-06-08 18:15:19"|"Admin logged in.wmk"|wmk
"2023-06-08 18:15:30"|"Admin logged out.wmk"|wmk
"2023-06-08 20:18:24"|"Admin logged in.wmk"|wmk
"2023-06-08 20:20:49"|"DelPending=1 records deleted.wmk"|wmk
"2023-06-08 20:39:40"|"0175150010 <nounit> deleted.wmk"|wmk
"2023-06-08 21:13:47"|"0175165028 <nounit> deleted.wmk"|wmk
"2023-06-09 15:52:35"|"0430010023 <nounit> deleted.wmk"|wmk
"2023-06-09 15:53:51"|"0430010028 <nounit> deleted.wmk"|wmk
"2023-06-10 00:24:45"|"importing new records from NewDNC.csv."|wmk
"2023-06-10 06:32:03"|"importing new records from NewDNC.csv."|wmk
"2023-06-10 12:19:31"|"importing new records from NewDNC.csv."|wmk
"2023-06-10 20:02:26"|"imported new records from NewDNC.csv."|wmk
"2023-06-10 20:04:15"|"imported new records from NewDNC.csv."|wmk
"2023-06-10 20:25:47"|"imported 0411061049/ from NewDNC.csv"|wmk
"2023-06-10 20:25:47"|"imported new records from NewDNC.csv."|wmk
"2023-06-10 22:05:06"|"0170100009 N deleted.wmk"|wmk
"2023-06-10 22:11:25"|"imported 0405120029/ from NewDNC.csv"|wmk
"2023-06-10 22:11:25"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 09:44:44"|"imported 0384100101/ from NewDNC.csv"|wmk
"2023-06-11 09:44:44"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 10:05:51"|"imported 0384090030/ from NewDNC.csv"|wmk
"2023-06-11 10:05:51"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 10:15:29"|"0384020076 <nounit> deleted.wmk"|wmk
"2023-06-11 13:15:29"|"moved Verboys SOSC to 0430020021.wmk"|wmk
"2023-06-11 13:32:09"|"imported 0385050031/ from NewDNC.csv"|wmk
"2023-06-11 13:32:10"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 13:43:12"|"0384020076 <nounit> deleted.wmk"|wmk
"2023-06-11 13:48:28"|"0386050079 <nounit> deleted.wmk"|wmk
"2023-06-11 14:20:39"|"imported 0386110099/ from NewDNC.csv"|wmk
"2023-06-11 14:20:39"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 15:14:39"|"deleted 314/Boxell SOSC moved to Lake City."|wmk
"2023-06-11 15:18:41"|"0386140080 <nounit> deleted.wmk"|wmk
"2023-06-11 15:25:13"|"imported 0386140009/ from NewDNC.csv"|wmk
"2023-06-11 15:25:13"|"imported 0386140014/ from NewDNC.csv"|wmk
"2023-06-11 15:25:13"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 15:37:13"|"deleted 316/Richardson SOSC move to Osprey."|wmk
"2023-06-11 15:42:21"|"0403040009 <nounit> deleted.wmk"|wmk
"2023-06-11 16:21:44"|"imported 0405010001/ from NewDNC.csv"|wmk
"2023-06-11 16:21:44"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 16:29:39"|"imported 0405010001/ from NewDNC.csv"|wmk
"2023-06-11 16:29:39"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 19:40:55"|"imported 0429021395/ from NewDNC.csv"|wmk
"2023-06-11 19:40:55"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 20:18:22"|"imported 0403130002/ from NewDNC.csv"|wmk
"2023-06-11 20:18:22"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 20:27:06"|"imported 0403130002/ from NewDNC.csv"|wmk
"2023-06-11 20:27:06"|"imported new records from NewDNC.csv."|wmk
"2023-06-11 21:13:27"|"0429021395 <nounit> deleted.wmk"|wmk
